Title,Price,Sold,Reviews,Condition,Brand,Area Covered,Power Source,Control Style,Mounting Location,Operating Sound Rating,Number of Heat Settings,Colour,Type,Item Dimensions,Material,Item Length,Item Width,Item Height,Colormap,Product Type,MPN,Model,Heating System,Voltage,Features,Power,Energy Efficiency Rating,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),BTU Heating Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Depth,EC Range,EAN,Country/Region of Manufacture,Color,UPC,Year Manufactured,Air Direction,Smart Home Protocol,Power (W),Unit Type,Design,Voltage Supply,Timer Control,Manufacturer Part Number,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Modification Description,Battery Included,Bundle Description,Custom Bundle,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Cable Length,Height,Heating Wattage,PackQty,Current Rating,ISBN,Publisher,Refrigerant,Tonnage,Manufacturer Warranty,Smart Home Compatibility,Size,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Amperage (amps),Heating Technology Type,Voltage (volts),Product Weight (lb),Heating Product Type,GTIN,Energy Star,Item model number,Batteries Required?,Assembly Required,Country of Origin,Heating Method,Number of Pieces,Package Dimensions,Included Components,Compatible Brand,Age Group,Brand Color,Chemical,Cooling BTU/Hr,Fuel Consumption,Fuel Rate (gal./hr.),Fuel Tank Capacity (gal.),Gender,Heat Rating (Btu/Hr.),Ignition Type,Style,ItemWidth,ItemLength,ItemHeight,Model Number,Package,Piece Count,Installation,Bundle Listing,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,manufacturer_part_number,Heat Output,JAN,Tracking,ShippingService,Heating Technology,Manufacturer Color,Heater Style,Width,Model No.,Pattern Name,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,Room,ProductTypeName,PartNumber,ProductGroup,Binding,Label,NumberOfItems,Studio,MaterialType,PackageQuantity,Warranty,item_width,item_length,Heat rating (BTU/hour),Pack Size,Brand compatible,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Product Name,Thickness,Compressor Type,Housing Material,Fuel Type,Cord Length (ft),Assembled Height (in),Item Location,Outdoor Living Product Type,Color/Finish,Assembled Depth (in),Total BTU,Shipping,Quantity,Heating Area (sq ft),Patio Heater Type,Assembled Width (in),Tax,Item Weight Major,state limitations,Area Heated (Sq. Ft.),Product Weight (lb.),Heat Output (BTU/hour),Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,package_length,Country Of Origin,Platform,Languages,IsMemorabilia,IsAutographed,Department,SKU,Temperature control,Watts,Plug Type,TAX,Customer Service,Returns,Handling Time:,Location,Questions,Thermostat,Safety tip-over switch,Fuel type,Heat type,Oxygen depletion sensor (ODS),High limit safety shut-off (HLS):,Indoor safe,Ignition,Hose & regulator included,BTU per hour:,Heating area (sq. ft.),Tank capacity (min.),Runtime,Maximum elevation,Connectivity,Dosage,Product,Format,Compatible Model,Author,Book Tittle,Language,UPC/GTIN Code,Mor Electric Heating SKU,Satisfaction,Product Dimensions,Heating settings,Wattage,Restricted States,ItemPackageQuantity,Power Line,Item,Return,OPEN BOX,Customer Return:,State limitations,Product name,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,Shipping Weight,Unit Quantity,Heating BTU,Manufacturer Colour,Finish,Room Coverage Area,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,Accessory Type,Item Package,assembled_product_dimensions_l_x_w_x_h,power_type,recommended_location,assembled_product_weight,manufacturer
Cyclonic Ceramic Space Heater 1500-Watt Electric Nonslip Base w/ Remote Control,,30-day returns,"[""this little heater will heat your small room to a toasty comfort level in just minutes, with the remote control everything is a snap and no need to get out of your seat, it is that easy to use, it's compact so it fits anywhere in a room giving you space, this product was a really good price,"", ""I love this heater. My wife dragged me to Lowe's to by a heater. I told her that we should buy a ceramic heater instead of a infrared heater. But like always she didn't want to listen. We ended up buying a heater for 150. This heater looks like old cast iron heater and it takes like an hour to make a room comfy. BBUUUUTTTT this Lasko heater is the BOMB and very worth it."", ""Works like a champ.  This heats my 250 square foot garage that is like an ice cube, otherwise.  I really like the thermostat feature.  I've had two of these in the past, and they have always worked well."", ""We have a small house in s.e. mich.. about 700 sq. ft. on the main level.  several years ago our furnace quit and we've been using ceramic heaters ever since.  I bought this lasco heater this fall to see if it could do better than the previous heater and it has been keeping the wholehouseat about 66 to 68 degrees so far.  Right now we are having the coldest below zero weather in years and it is still keeping things at around 60 with no other heater. needless to say, we have turned on an additional ceramic heater and the temp in the living room isaround 65. I repeat we have no other furnace or heater in the housethe basement stays around 60 all the time but as soon as the outdoors temps rise into the 20's and 30's it will be about 68 in here and we will only need the large Lasco heater.I am very happy with this heater."", 'Works well and looks like the picture, but not quite the remote I was looking for.  I understand the remote that actually went with my upright fan, the model is now out of date or for sale.', 'I plugged the space heaters in immediately and it took the chill right off the house love them. I have a heat pump and when the temperature gets below 32 the system needs help. These are perfect.', 'Quiet; Very powerful; Many fan &amp; heat speed/temperature options. Delivered much faster than even my dog\'s favorite (E-bay) dog food! The back of this unit is not even the slightest bit warm, even when temperature and fan speed are at ""max""! Greatly helps supplement our home\'s central heat, even during extremely cold weather.', ""This heater warms my apartment way better than the heating sytem for the apartment. It's easy to move around and it does not get hot so you can move it without the danger of getting burned bu holding the sides. Good choice for anyone who has to use gas heat or heat a lot. Could save you a lot of money."", 'Actually, my 5/6 year old unit is STILL GOOD. but the remote died from battery corrosion.So, I now have TWO GOOD EXCELLENT HEATERS- with One REMOTE. * works on both👍🏻', ""This heater provides a great deal of heat for a large room/ recommend it for purchase, if a person is interested a quality heater.....it's well worth the investment/ Thank you.""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,Electric,"Remote Control,Touch",Portable,,2,,Ceramic,,Plastic,,16.8in.,,,,760000,760000,,110 V,"Portable, Thermostat, Timer, Remote Control, Cool-Touch Exterior",750-1500W,,,,,,,,,,0046013768520,,Black,0046013768520,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrared Heater 1500W Broad Range UV Light Adjustable Thermostat Remote Control,109.99, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",LifeSmart,,Electric,Remote Control,,,,,,,,,,,,,,,Infrared,,,,,,,,,,,,,,,Black,817223019692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAYDON Baseboard Heat Base 750 7 ft. Hydronic Heating Enclosure Only,108.48,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HAYDON,,,,,,,,,,,,,,,,HB750-7E,HB750-7E,,,,,,,,,,,,,,0754094110410,,White,0754094110410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm HS-1000-WX-WIFI WiFi Smart Deluxe Infrared Wall Heater New,107.11, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyna-Glo Propane Heater 18K BTU Auto Shut Off Radiant Steel Black,,30-day returns,"['A bit smelly at the beginning due that the paint is burning. Smell will go away in the 1st week. The front grill (chromed) will turn dark a bit but that’s to be expected. Enough heat for a 4x6m room when usign Liquid Propane gas. I used Butane and it was amazingly efficient (you feel the heat even with the pilot! Not even a single burner) but butane is difficult to find where i live.Comes with gas regulator, ready for a left internal thread. Easy to operate and very light to move around the house. Planning to buy another one for the 1st floor of the house. ', 'Amazing.  Really throws out a lot of heat.  Easy to set up, easy to use.  Cools off super fast too.  I use it on a front porch that has vinyl covers the open areas and open holes through the concrete base.  Maybe 100 square feet and on low it gets warm and toasty.  ', 'comes with wheels easy to install, and heat comes clean. tested with my CO (carbon monoxide) detector and is good for indoors. been using it on a rental property for couple days now. 3 settings for heat intensity. propane bottle doesnt go out as fast like other heaters.', ""This is a dyna-glo brand 6-18K BTU.3 burner panels knob controls 1,2,3 burner lighted.This would create 6,12,18k btu of heating output.Easy to setup with 20lb tank counter clockwise to tighten.Heats my 5-700 sq ft up to 70+ with 2 burners active in less /hr 50F ambient.Be safe with enclosed spaces with this, needs adequate ventilation.Have a carbon monoxide detector in airspace proximity.Doesn't produce much of a smell when burning, only during first few hours of being new."", ""this is my 3rd one, have one in my living room, one in family room. this one is just a backup. saw this advertised on five sights  3 said not for indoor use but others said that was just a disclaimer. i've used it indoors for 3 years with no problems.  i did disconnect the tipover device because it would not reset sometimes. great backup heating system"", ""This is a great heater. I have a 1500sq ft house that I heat with this heater and it will roast you out of the house. I usually run it on low and I put a little clamp on fan on top to push the heat out. The break in took awhile to burn off the new of it but after that there is no smell what so ever. It's easy to operate. I use it in the evening just to keep my electric bill down."", ""the buddy company makes one similar but this one makes the same heat it is a construction heater so not intended for use in your home(but that is just for the lawyers it is meant to heat a small area but one without clutter since items should be away from a 3 foot radius of 180 deg of the front the pilot lighting can be confusing for the stupid since you have to constantly hold down the pilot position for a few seconds then click the ignitor and leave it held down till the thermocouple heats which takes about 15 secondsso if you are a moron just buy an electric heateri heat my front room on setting 3 till it gets as warm as i like it  than outside then switch it to position 2 only complaints are the wheels don't roll well(yes i have the locking wheels unlocked)and the tank fitting is the old left hand  type instead of the easier to use new plastic (righty tighty)acme type that is on all propane tanks made after 1996also taking off and putting on the flimsy rear tank retainer is a bit annoying it would be better if it had a hinge and latch  instead of tabs and slots"", 'Needed something for back up heat due to our electricity being off frequently during storms and etc. This is an excellent source of quick and versatile heat. The ability to adjust from 6,000 to 18,000 BTUs makes it perfect. Build quality seems to be adequate. This is really a no brainer.', ""By every measure, this is wonderful heater. This heater quickly heats a 144 sqft room in 3-4 mins when using it at full capacity going from 40F to 70F. Excellent starting with the pilot light and it is easy to move (but the castors are probably not the greatest). At minimum capacity keeps an entire 2000sqft house from going below 62F when it is 22F outside (but this will also be dependent on air allowed in and insulation as well). Unlike electric, this gives off a pleasant infrared light that will heat things it is pointed at. This is quite nice since heated air is lighter than colder air and rises, but a chair or clothing 3-10ft away will warm from the light emissions. You can sit 3 ft away from it and warm your hands as if it was a camp fire from this light. You can also feel the hot air going straight up into the air.  Make sure you keep clear of the grill as in loose clothes or your leg. Also according to directions you are not suppose to leave it on unattended. But, one of the first things we did was roast marshmallows using long metal rods. For s'mores, you can get the perfect golden marshmallow. (even though it's not marketed as a marshmallow toaster).Between medium-to-high quality, portability, cost efficiency, and the shear fact that it paid for itself in less than one month from switching away from heating with electricity, I give it five stars.  "", 'We have heat pumps in our house and on those really cold nights they just don’t do the trick. We got this heater just for a little extra warmth and we have been shocked on how easy and warm it is. I found out that we only need to run it on low because medium and height is way to much. Great product.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dyna-Glo,500 to 749sq ft,Propane,"Dial, Switch","Portable, Garage, Cabinet, Cabinet,Garage, Free Standing",Quiet,3,,"Utility/Portable, Gas Portable Heater, Air Heater",,"Metal, Steel",,15.75 in,,,,RA18LPDG,RA18LPDG,Radiant,,"Handle, Timer, Indoor, Oxygen Depletion Sensor (Ods), Tip over Safety, Portable, Automatic Shutoff,Nonslip BASE,Tip-Over Safety Switch,Wheels, MPN,Portable, Automatic Shut-OFF!!,Tip over Safety,Wheels, Wheels, Vented, Heating, Tip-Over Safety Switch, Automatic Shut-OFF!,Tip over Safety,Wheels, Heater",,,,,,18000,,,,,0872076015901,,Black,0872076015901,2018,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aikoper Space Heater, 1500W Ceramic Tower Heater, Portable Electric Oscillating ",107.65, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Corded Electric,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,0744110768022,,Black,744110768022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07 x 7.64 x 24.09 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F232000 Portable Buddy Heater 4000 And 9000 BTU Hr Standard,108.72, ,"[""I bought this heater for my small garage workshop. My electric heater kept tripping the breaker while using other equipment. I was afraid of other gas heaters due to their carbon monoxide emissions. This was one of the few gas heaters rated for indoor use. It also has an oxygen depletion detector and tip over cut off feature which I thought was very important.This heater silently keeps my shop warm in even the coldest temperatures and can also be attached to a 20 pound propane tank with an accessory hose ~ which I also purchased. I've run this heater for up to 6 hours uninterrupted with no noticeable fumes and since all the heat is focused out the front, it can be set close to a wall with no worries.I know I'm going to get a lot of use out of this heater. It was a very reasonable price and filled my needs perfectly. Highly recomend the Mr. Heater Buddy for heating small spaces."", 'Here in Monterey County the weather can be colder in the evenings. At my home we cut of the central heating back in ‘88 so we all dress up like eskimos to keep warm. Don’t get me wrong. We do use electric heaters in certain areas but after purchasing this Portable Propane heater, it was Heaven sent. I recommend this product with all my heart. It is compact. It is durable. It is easy to refuel. It is warm to hot. And now, as we speak, the 5 ft extension hose just arrived. When connected from my Gas Buddy to a 20 lb propane tank, I should get at least 24 hrs of constant heat. Thank you for your time. ', 'The last power outage we only had kerosene heaters.  They are big, bulky, heavy, require pouring fuel and the fumes left us wheezing and coughing.  Therefore, we found these Mr. Heater, bought two and what a difference.  Small enough to be moved from room to room and so much safer.  You will love Mr Heater.', ""Small and practical for portable heat when equipped with a disposable bottle, it's even great for a more permanent heat source - just pair this heater up with a hose and a large refillable propane bottle.  It even has a pilot light for easy on and off use.  Two heat settings, 4000 and 9000 BTUs.  The back of the heater stays cool to the touch, so it can be used backed against a wall.  Six stars for this heater."", 'Really nice heater. Relatively easy to operate and has safety features. Heater will not run all night, though with the small propane cylinders. ', ""Love this portable propane heater. Can't wait to take it camping. In the meantime, we use it around the house to warm up and enjoy the heat it produces. If the power goes out, we will stay warm with this heater!"", ""This is a very good product.  What is different about Mr. Heater compared to other small heaters is that it uses 1 lb. propane tanks, thus it does not have to be plugged in or placed near an electrical outlet.  It is easy to use and have a anti tip safety feature that will cut the unit off if the unit is tipped.  Keep on hand a few 1 lb. propane cylinders, and you're good to go.  Very good heater for small spaces and can be used indoors."", 'Great propane heater with 2 settings. I also bought a 12ft hose to connect to a 5 Gallon propane tank. The low setting was enough to warm my 29ft motor home. Perfect.', 'Purchased the additional Mr. Heater 10\' hose (item F273704) that you don\'t have to use a filter and connected it to a 20 lb. bottle of propane.   Easy to light and ran all night on low to keep my greenhouse warm.  I used a 1.5"" PVC water pipe and ran the pipe under the foundation of my greenhouse and then ran the hose through it outside where the tank was located.  For safety reasons, you aren\'t supposed to have the 20 lb. tank inside near the heater.  I cut up an old wash cloth and stuck it inside the pvc pipe to keep bugs and cold air from entering into my greenhouse. So easy to do.  ', 'Product operates exactly as advertised, which nowadays is not always the case. It functions easily and simply. Really like the option to go to larger capacity tank for longer use periods or not having to change out bottles constantly.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,,Battery,Rotary Knob,Floor,,3,,Heater,,,14.25 in,9in.,,,,"F232000, MH9BX",MH9BX,Heat Pump,,,,,,Copper,,4000-9000 BTU,20 gal,,14.25in.,,0089301320000,,Black,0089301320000,,,,,,,,6 hrs,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Portable Electric 42"" Oscillating Tower Fan with Nighttime Setting Time...",105.17, ,"[""This lasko curve fan is great, it is very quiet and moves the air very well with 3 different speeds and a night setting for your convenience. Also has a remote control which let's you control everything at your fingertips. A great buy."", ""It's perfect height for my bedroom - and easy to move  when I need it at my desk. I didn't think I'd use the timer but I have and like it."", 'Replace one I had for8 years still good quality ', 'I am enjoying my lasko. Tower fan very much ', 'Very good I recommend', 'Very quiet  &amp; powerful', 'WORKS LIKE A CHARM', 'Very quiet. Works great!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,Electric,Remote Control,Freestanding,,3,,"Tower Fan, Tower Heater",,Ceramic,13in.,13in.,,,,T42951,T42951,,120 V,"Remote Control, Indoor",54,,,,,,,,,,0046013463562,,Gray,0046013463562,,,Infrared,,,,,10 Hours,,,,,,,,,,,,,,,,,,,,,,,,0046013463562,,,,,,"42""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONYER POWER Mini Electric Fireplace Tabletop Portable Heater14.8''  White Metal,109.99,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",DONYER POWER,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8''White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Heater 222361 BTU Tank Top Heater 45 K,108.46,25 sold,"[""Easy to set-up and really puts out the heat.  On the lowest setting this thing gets super hot!  I live in Wisconsin, on a 18 degree November morning this heater warmed our non-insulated 2-1/2 car garage to 72 degrees in a little over 2 hours (on the highest setting).  Does not come with electronic ignition but that's not a deal breaker.  Starts easily (just don't stand above it when lighting)    Seems well made.  Quality product with very good packaging.  I do not regret this purchase!"", 'I use to have a smaller, 15000 size tank top and the winters in the cinder block garage were tough. This product is faster and I feel more efficient to operate, thumbs up here', 'I use this out in my 20x12 shed, keeps me warm when I am working or just sitting out there. It get pretty cold where I live and it is nice to go out and fire it up. Within a couple minutes, it’s toasty, ready to work. ', ""I think that it's ok for use inside a shop but not for what I wanted to use it for which is outside use. now that's not the fault of the seller, it was on me and this by no means is a bad review.  I take full responsibility for this purchase. thanks "", 'Easy assembly and has plenty of heating power, its also a low profile so is space saving, also simple to light with a wood match or long lighter', 'Great emergency heater!  It took no time to heat up a couple rooms of a little trailer, and the heater was only on low!  At that setting a tank of propane should last around 14hrs.  I imagine on high it would be the type of heater that several people could stand around in some pretty cold weather and keep warm, like during ice skating.  Even on high, a tank should last about 9.5hrs.  A good value!', ""I love this little gadget. We've had the tall metal heaters for years and they've gotten so rusty and nasty and they take up so much room on our deck. This one is small, easy to hook up, easy to use, and it really heats the place up."", 'I really like it. Type this into YouTube and see my video reviewType... Mr. Heater F242540 45,000 BTU 540 Degree Propane Heater.I made the review I was looking for and could not find. My gas meter and regulator went bad in Pennsylvania on one of the coldest days of the year. I was caught unprepared. Now at least I have a backup portable heat source. I wish I could add my video to this post but it will only let me add pictures. So go check out my video.', 'It works awesome but eats up propane fast. On low a 20 lb tank only lasts about 6 hrs. But i still love it', 'I got it because i use in in my outside carport So i can  work on my snowblower or generator when its cold i have no other place to do this i put up a plastic sheet at the opening of the carport which is still well ventilated so it works good but takes more time since its not a garage but for now i can keep warm while i work  I am glad i got it. ']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr Heater Corp,Small,Propane,Switch,,Quite,3,,"Tank Top, Space Heater",,Steel,,"8.9 in, 8.9in.",,,,F242540,F242540,Radiant,,Outdoor,45000BTU,,,,,,,,,,,,Multicolor,089301000629,,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus H8013 Heater Infrared Quartz With Remote Control,109.52,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Optimus,100 sq ft or Less,Electric,"Remote Control, Digital, Switch, Touch","Wall, Cabinet",None,2,,Heaters,,,,,,,,H8013,Optimus H-8013,Infrared,,,1001-1500 W,,Coil,Brass,Less Than 80%,Less Than 2000 BTU,,,,,0630326180133,,"Brown, Gray, White, Black, Green",0630326180133,2017,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
