Title,Price,Sold,Reviews,Condition,Style,UPC,Power Source,Color,MPN,Item Length,Smart Home Compatibility,Heating Element Format,Brand,Air Direction,Heating Element Material,Type,Control Style,Heating System,Voltage,Model,Mounting Location,Item Width,Power,Colour,Material,Features,Number of Heat Settings,Smart Home Protocol,Country/Region of Manufacture,Refrigerant,Cable Length,Year Manufactured,Location,Size,Custom Bundle,Unit Quantity,Energy Efficiency Ratio (EER),Manufacturer Warranty,Modified Item,EAN,Item Depth,Tank Capacity,Tonnage,Area Covered,Manufacturer Color,Height,Heating Wattage,Heater Style,Heating Technology,Recommended Environment,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,Package Contents,Normal temperature resistance,Item Height,Product Lot Quantity,Room Coverage Area,Width,BTU Heating Rating,PackQty,Manufacturer Part Number,Current Rating,Type  1,Energy Star,Timer Control,EC Range,Overall Length,Overall Length (In.),Terminals,Sheath Material,NumberOfItems,Restricted States,Weight,Slotted Hole Width,Mounting Dimension,Application,Watts,Max. Sheath Temp.,Screw Size,Length,Mounting Type,Watt Density,Phase,Slotted Hole Length,Manufacturer,New Title,Item Weight,Prop65_fl,Prop65Warning,Power Type,ISBN,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Item model number,Warranty Description,Product Dimensions,Country of Origin,Batteries Required?,Heating Method,Item Dimensions LxWxH,Import Designation,Is Discontinued By Manufacturer,Included Components,Room Size,Indoor/Outdoor,Portable Heater Features,Heater Type,Voltage (volts),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Wattage (watts),Color Family,Power/Fuel Type,Amperage (amps),Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Certifications and Listings,Product Weight (lb),Assembly Required,Material Care Instructions,Number of Pieces,Warranty - Parts,Warranty - Labor,Noise Level,Model Number,Category,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,assembled_width_in,assembled_depth_in,room_size,heater_type,assembled_height_in,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,amperage_amps,voltage_volts,product_weight_lb,ProductGroup,ProductTypeName,Use,Gift,Offer,Return,Quality,SHIPPING,Ships from,Customer Service,Main Colour,Hight,Power (W),Compressor Type,Number of Cool Speeds,Specification met,Bulb Type,Heating Technology Type,Mount Location,Depth,Heating Product Type,Area Heated (Sq. Ft.),Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,ASIN,item_width,item_length,Bundle Description,Battery Included,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Finish,Actual Color,Feature,Model No.,Product,SKU,Country of Manufacturer,package_length,Batteries Required,Item Diameter,Finish Types,Made For,Tank Sizes,manufacturer_part_number
"Mr. Heater F242100 Tank-Top Propane Heater, 8,000-15,000-BTU - Quantity 1",64.1,20 watchers,"['I have been using the Mr Heater product with a 20lb propane bottle for more years than I can remember...This product has been around for a long time...When it finally stopped working...I was more than ready to replace it with a new Mr Heater unit. Even though the appearance of the current model is similar to the previous unit....it is an impressively improved design with new safety features...lights up very quickly and has an improved selector knob for the 3 different heat settings...', 'As far as the propane heater there are many choices but I be owned this same model unit not including new one I just purchased over 6 years and it HSS given me no problems for my outside heating needs. Now I live in az but we get some cold nights here and even have used indoors in larger part of house its not recommended since carbon monoxide poising can be a real threat. I reccomend thus product if your looking for good value and a trusted name.', 'This is the second one I have ordered. These work great and are easy to use. I highly recommend these to anyone who needs instant heat.', ""This is a great product! Well made with quality in mind. I especially like the tipover shutoff feature as it relates to safety. This my second unit and they're durible and made to last. I highly recommend.Mike in Tucson"", 'Mr. Heater is the only way to go if you need a propane tank heater.  I bought two Harbor Freight heaters and had to return both of them because they either wouldn’t light or stay lit.  Mr. Heater installed easily, came with very simple instructions and started the first time.  Plus it’s very quiet!  I would highly recommend Mr. Heater and eBay easily had the best price.', ""Bought this basically as heat for the garage in case the power goes out, so my water lines don't freeze. I have used the heater a dozen times just testing it, while I messed around in the garage. Works exactly as the description said it would. No problems or issues as of now. Easy to install on the tank. Easy to light."", ""we use ours on a daily basis, and they typically fail within one year to 15 months. one of the safeties will malfunction, and the unit will either not produce any gas or will not stay lit. had to put a hose clamp around the startup plunger just to have heat, that brought it's useful life to almost 2 years. my mechanic has one that is maybe 10 years old that still works...it has no safeties. might as well buy the cheaper chinese ones and save money."", 'THIS IS A SAFETY IMPROVED UPGRADE OF THE ORIGINAL MR. HEATER AND IT ADDS A MOTION/TIP OVER SHUTOFF FEATURE .  SIZE IS COMPACT BUT THIS WORKS BEST WITH A 20 POUND TANK.  OUTPUT IS ROBUST AND OF A RADIANT NATURE THAT WORKS WELL FOR OUR DECK OFF-SEASON.   COMBUSTION IS NEAR COMPLETE FOR RARELY A WHIFF OF GAS.  ', 'This little heater works great, all week long using it in the evenings on low and only used 2.5 gal of propane. The only gripe would be the wire support bar thing is not the best design and the screw that holds it to the base of the heater is too short. For the price it is a good investment.', 'A small cook stove with a blue flame is good. This product is better. It has a lot of surface area and the flame can then burn hotter. I received it and am contemplating building something around it for safety. The only thing like this is hot coals glowing in a wood fire.I have not yet made the thing I will construct around it so I have been unable to use it yet. By the time deep  winter is here I will have it made']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,089301421004,"Gasoline, Electric, Propane, Electric,Propane","Silver, Brown, Brown,Silver,Multicolor,Black, Multicolor, Black, Brown,Multicolor,Silver,Black, Off White","F242100, F242105",n/a,,,Mr. Heater,,,"Tank Top, Tank","Rotary Knob, Switch,Rotary Knob, Switch",Radiant,Not Electric,MH15TS,Portable,8,Not Electric,,"Aluminum, Metal - Aluminum, Aluminum,Metal, Metal","Quiet Operation, Cooling, Hawaii Med Low Regulator, Mr Heater 10000-15000BTU HR Heater, Cordless, Regulator, Tip-Over Safety Switch,Cordless, Adjustable Heat Control Valve,Built-In Safety Shut-OFF!!, Built in Safety Shut OFF!, Adjustable Heat Control Valve, Tip-Over Safety Switch, Adjustable Heat Control Valve,Built-In Safety Shut-OFF!, Portable, Automatic Shut-OFF!!, Tip over Cut OFF! Switch, Camouflage, Heating, Tank Top, Outdoor, Automatic Shut-OFF!, Quiet Operation, Hawaii-Med-Low Regulator, Tip-Over Cut-OFF!! Switch, Quiet Operation, Hawaii-Med-Low Regulator, Tip-Over Cut-OFF! Switch, Camping, Camping,Hunting,Regulator,Tank-Top,Portable",3,Infra Red,United States,,,,,,,,,,,0089301421004,,20 lbs,,,,,,,,,,Quiet,,,,,,,10000-15000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko AW300 - Bladeless Space Heater With Remote - Silver,62.69, , ,,,804904103313,Corded electric,Silver,AW300,,,,Lasko,,,Space heater,,,,AW300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AW300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comfort Zone Compact Portable Electric Space Heater Personal Fan Unit, White",64.99,30-day returns,"['I highly recommend this heater. It heats up your room within an hour of use.', 'A does works but very annoying.', 'It was very nice', 'Waste of my money', 'Great Heater', 'Shuts off when tipped over! Can be used as a fan in the summer!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0075877250483,Electric,White,CZ40,,,Coil,comfort zone,2-Way,Brass,Portable Heater,"Switch, Dial",Forced Air/Fan,120 V,125095,"Baseboard, Desk/Tabletop",,1001-1500 W,,,,2,HomePlug,Unknown,,100 sq ft,2000,,,,,,,,0075877250483,,,,100 sq ft or Less,,,,,,,Less Than 80%,None,,,,,,,Less Than 2000 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barrel Jobsite Heater, Ceramic",63.52,30-day returns,"[""it great for floor level warming. it's small compact heater. I've only used it on low setting for the area I was trying to make warmer and got to desired temperature the unit went into standby mode. "", 'It is a good heater.Heats quickly. For those interested,It will heat a one car garage space in a fair amount of time but for large areas you should look at larger heaters. Works good for my use.', ""Heats a small room up good.. only thing I wish it had but doesn't is a tilt over shut off safety feature."", 'It works ok for small heater, not really for commercial purposes. But works ok for small area. Design well, has all the safety on it. For price I would recommend it. ', 'Bought this because it said  garage heater. Bull,  way to small and nowhere near powerful enough for a garage of any size. Not even good enough for an average bathroom heater. Overall, pretty much useless. ', 'This came quickly so the delivery was good. But it does NOT heat like the description says it does. There are different settings, yes, but even on the highest and hottest setting it barely heats the room. And its an inside room! The description says its made for basements and garages but its not! ', 'heater kept shutting off on high setting even though it was in a cold garage. worked on low setting ok . possible faulty thermostat. i have a craftsman barrel heater that is similar and it has worked fine for three years. i returned the faulty heater yesterday and am waiting for my refund.', 'looked great and priced right', 'It heats up good and I like that it has the thermostat it does the job BUTIt could have a better fan to push the heat a little better It HAS A STRONG PLASTIC SMELL that could be overwhelming for some and the handle broke when trying to adjust the angle', ""I am using it to warm a small outdoor cat house. It regulates the temperature to a safe, comfortable warmth and is very compact and sturdy. It also doesn't get hot to the touch. It turns itself off when the desired room temp is reached. Very cool!""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,075877125156,Electric,"Silver, Gray, Blue, Beige, Black",CZ285,,,,comfort zone,,,,Switch,,120 V,,,,,,"Ceramic, Steel",,2,,United States,,,,,,,,,,,0075877125156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200W Winter Fast Heater Radiator Mini Portable Heating Heating Electric Fan,62.69,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,Black,Does Not Apply,,Thermostat,,Unbranded,,Ceramic,"Portable Heater, 	Fan Heater",Push Button,,220V/110V,,"Cabinet, Desk/Tabletop, Floor",,1200W,,Flame retardant ABS+PTC ceramics enthusiast,Thermostat,2,Thermostat,China,Thermostat,1.2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CADET 4F1000W Elctrc Baseboard Heater,48"" L,208/240V",63.5,6 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,027418099549,Electric,White,09954,,,,Cadet,,,Baseboard Heater,Switch,,240 V,4F1000W,Wall,,,,Steel,,1,,,,,,,,,,,,,0027418099549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric PTC Air Heater Ceramic AC 110-230V 500W Thermostatic Insulated Element,,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,Electric,Black,2371001104,125mm,Other,Coil,Unbranded,Other,Copper,Electric PTC Air Heater,Switch,Forced Air,110- 230V,2371001079,Floor,80mm,500W,,"Aluminum, Ceramic",8038 axial flux fan,3,Wire,China,Other,Standard,2021,,,No,,Standard,None,,,Standard,Standard,Other,Other,,,,,,,Other,Standard,,,,,,,Standard,,,Standard,Air Heating Component,A+++,10s,A+++ - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VULCAN OS1423-1500B Strip Heater,23-3/4 In. L,1200 Deg F",61.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,Does not apply,,,OS1423-1500B,,,,VULCAN,,,Strip,,,240,,,2.000,,,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23-3/4""",23-3/4,Offset,Stainless Steel,1,[],1.3,"5/16""","22-3/4""","Clamp on to Heat Dies, Platens, Vessels, Tanks and Heat Transfer",1500,1200 Degrees F,10-32,24.000,Surface Mount,21W/sq. in.,1,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F242200 Polished Chrome Reflector Single Tank Top Heater 300 sq.ft.,63.50,80 sold,"['Absolutely love this propane heater easy to like easy directions Pull-a ride the box fired it up !!Absolutely amazing how much heat this thing puts out !! It will absolutely keep your hands warm on a cold off days be careful not to touch around the edges of the rim ,  it does get 🥵 hot if you golf on Cold days ...you definitely need one of these z!!', 'Cool product this is my 3rd ', ""I couldn't be happier with this little heater.  Perfect for my deer blind !"", 'very good heater', 'Great product, use oh in deer shooting house', 'Good heater for a small area ', 'Works great, very happy with this heater!', 'Great heater,very powerful,perfect for my needs', 'Heater works perfect', 'was as described']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,089301422001,Propane,"Silver, Black, Green",F242200,8.25,,,Mr. Heater,,,Portable Heater,"Dial, Switch",,,Mr. Heater,,8.75,,,"Aluminum, Chrome, Steel",,2,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,,F242200,,,,,,,,,,,,,,,,,,,,,,,,MR. HEATER,Mr.,2.80,Y,California residents see Prop 65 WARNINGS: This pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Over Door Warm Air Curtain Fan Heater LED Screen Remote Control PTC,48.49,929 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,"Electric, Fan",,LG LW20,,legend,,legend,,PTC,Overdoor / Wall heater or Cooler,"Digital, Remote Control, Touch",Forced Air-Fan,240V,Smart,"Roof, Wall, Window",,1000W-2000W,White,PTC,Warm Air Curtain Fan Heater  and Cooler,2,Wall fan Heater,,,150mm,2000,,,No,,,6 Months,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,24 Hour - 7 Day - Weekly Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelonis 900W/1500W Tower Heater with Remote Control & Timer Function,64.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0750545104991,Electric,White,,,,,Pelonis,,,Tower Heater,"Digital, Remote Control",Ceramic,,,"Baseboard, Desk/Tabletop, Floor",,1001-1500 W,,,Timer,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeywell Heat-Genius Ceramic Space Heater, HCE845B, Black",65.0, ,"[""Everytime the heater is turned on, you have to reset it.  It has no memory.  The thermostat doesn't work well in that it doesn't come on at the set temperature."", 'Heater dose not operate. No heat at all. No fan spin. Just sits there like a paper wait. I’m so disappointed.  I need a heater. Why would I be sent a none functioning $80 plus item and the monitor door alarm is still in the box?  Sign of a stolen item. I have no choice but to sent to BBB fraud department. I’m going to reverse cc charges and submit visa fraud case. I’m so cold and tired ', 'Works perfectly,  throws a lot of heat almost instantly, light, convenient. Wish I had gotten it sooner.Using it right this second to warm this room and not run the whole house system.', 'It’s excellent heater . I love it . Valuable items for those cold days ', 'This unit heats two rooms efficiently.', 'works good', 'great item', 'Very good heat', 'Just what I was looking for.']",,,7445015879891,Electric,Black,HCE845B,,,,Does not apply,,"Aluminum,Ceramic",Portable Heater,"Digital,Touch",Forced Air/Fan,120 V,Honeywell HeatGenius HCE845,Floor,,"1500W,1001-1500 W",,Ceramic,"Digital Display,Portable,Thermostat,Timer,Thermostat,Timer,Vented",5 or More,,,,,2018,,,,,,,,0744110538793,,,,151-200 sq ft,,,,,,,,,,,,,,,5000-5999 BTU,,hce845b,10.1-15 A,,Compliant,15 min,,,,,,,,,,,,,,,,,,,,Honeywell,,,,,Electric,Does not apply,77161 lb,1146 x 807 x 2067 Inches,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3' DIY Basic Baseboard Heater Cover 24-Gauge Perforate Steel,65.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,White,,,,,Unbranded,,,Baseboard Heater Cover,,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VULCAN OSF1512-900A Finned Strip Heater,12 In. L,1200 Deg F",61.37, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0094700997609,Electric,,OSF1512-900A,,,Strip,Vulcan,,,Finned Strip Heaters,,,120 V,OSF1512-900A,,,,,Steel,,1,,,,,,,,,,,,,0094700997609,11 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000W Home Mini Space Fan Ceramic Heater Portable Electric Energy Saving ,58.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,"Electric, Fan","White, Black",,,,,Unbranded,,PTC,Portable Heater,"Digital, Push Button, Touch",Forced Air/Fan,230 V,,"Cabinet, Desk/Tabletop, Floor",,801-1199 W,,Ceramic,,3,,China,,,,,,,,,,,,,,,250 ft²,,,,,,,,41-50 dB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4x MegaHeat Single Tank Top Outdoor Propane Heaters - 4 OF THEM,85.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,Propane,,,,,,MegaHeat,,,Portable Heater,,,,,On Propane Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konwin X01-7 120V 700W 5.9A 1-Level White Indoor Electric Oil Filled Heater,63.52,77 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,814645022767,,White,,5.70,,,Konwin,,,Heater,,,,Konwin,,14.3,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,,,,,,X01-7,,,,,,,,,,,,,,,,,,,,,,,,KONWIN,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
